Iterations;Runtime;
1000;21;47;
1000;21;48;
1000;20;44;
1000;18;44;
1000;19;45;
2000;36;86;
2000;39;86;
2000;40;91;
2000;45;90;
2000;39;86;
3000;56;127;
3000;62;133;
3000;56;127;
3000;57;130;
3000;63;138;
4000;79;178;
4000;74;170;
4000;78;169;
4000;79;200;
4000;74;173;
5000;102;222;
5000;98;245;
5000;113;293;
5000;106;245;
5000;101;240;
6000;120;280;
6000;117;286;
6000;135;300;
6000;127;301;
6000;115;301;
7000;144;327;
7000;128;336;
7000;138;330;
7000;144;350;
7000;156;404;
8000;163;376;
8000;155;348;
8000;158;351;
8000;158;372;
8000;163;385;
9000;188;436;
9000;194;464;
9000;201;539;
9000;204;453;
9000;185;452;
10000;206;508;
10000;226;500;
10000;225;518;
10000;210;516;
10000;217;491;
11000;229;553;
11000;242;507;
11000;217;489;
11000;225;502;
11000;222;517;
12000;238;570;
12000;245;566;
12000;252;581;
12000;262;630;
12000;254;609;
13000;290;636;
13000;283;644;
13000;260;612;
13000;261;663;
13000;281;624;
14000;295;654;
14000;309;657;
14000;286;637;
14000;292;635;
14000;289;633;
15000;298;688;
15000;304;692;
15000;323;697;
15000;303;708;
15000;298;730;
16000;319;734;
16000;321;760;
16000;321;736;
16000;323;744;
16000;325;755;
17000;340;804;
17000;341;791;
17000;343;762;
17000;343;798;
17000;363;770;
18000;363;823;
18000;365;864;
18000;360;831;
18000;359;815;
18000;369;805;
19000;388;887;
19000;391;868;
19000;387;859;
19000;386;871;
19000;394;885;
