Iterations;Runtime;
1000;179;857;
1000;170;821;
1000;169;805;
1000;171;790;
1000;173;793;
2000;339;1633;
2000;336;1613;
2000;338;1607;
2000;329;1724;
2000;342;1611;
3000;521;2566;
3000;534;2519;
3000;524;2442;
3000;515;2488;
3000;535;2515;
4000;684;3358;
4000;668;3214;
4000;691;3244;
4000;674;3261;
4000;686;3256;
5000;850;4044;
5000;861;4060;
5000;857;3988;
5000;853;4022;
5000;886;4043;
6000;1036;4846;
6000;1048;4820;
6000;1070;4837;
6000;1027;4885;
6000;1050;4907;
7000;1193;5737;
7000;1196;5628;
7000;1204;5553;
7000;1194;5666;
7000;1193;5816;
8000;1399;6820;
8000;1383;6413;
8000;1417;6797;
8000;1454;6786;
8000;1420;6924;
9000;1616;7566;
9000;1640;7611;
9000;1559;7409;
9000;1538;7706;
9000;1547;7612;
10000;1743;8365;
10000;1801;8654;
10000;1751;8460;
10000;1738;8352;
10000;1734;8233;
11000;1887;9104;
11000;1813;9044;
11000;1910;9065;
11000;1876;9149;
11000;1871;9098;
12000;2041;9804;
12000;2070;9782;
12000;2061;9835;
12000;2062;9709;
12000;2071;9819;
13000;2227;10732;
13000;2292;10814;
13000;2225;10662;
13000;2179;10327;
13000;2178;10243;
14000;2347;11034;
14000;2274;11014;
14000;2364;11268;
14000;2345;10920;
14000;2240;10980;
15000;2398;11709;
15000;2463;11801;
15000;2517;11687;
15000;2502;11695;
15000;2512;11631;
16000;2632;12563;
16000;2563;12532;
16000;2633;12481;
16000;2670;12450;
16000;2669;12521;
17000;2826;13286;
17000;2945;13466;
17000;2789;13491;
17000;2836;13311;
17000;2874;13346;
18000;2919;14114;
18000;2990;14035;
18000;3008;14062;
18000;3004;14008;
18000;2864;14100;
19000;3166;14930;
19000;3162;14892;
19000;3196;14912;
19000;3152;14978;
19000;3186;14840;
