Iterations;Runtime;
1000;9;14;
1000;9;13;
1000;8;12;
1000;7;13;
1000;8;12;
2000;16;28;
2000;15;22;
2000;14;22;
2000;14;22;
2000;14;22;
3000;21;33;
3000;22;33;
3000;21;33;
3000;21;33;
3000;21;33;
4000;29;47;
4000;33;49;
4000;35;47;
4000;31;47;
4000;30;46;
5000;37;57;
5000;37;60;
5000;40;63;
5000;39;60;
5000;37;55;
6000;44;66;
6000;48;82;
6000;53;78;
6000;46;73;
6000;45;70;
7000;49;81;
7000;51;81;
7000;53;92;
7000;50;79;
7000;54;100;
8000;60;92;
8000;62;91;
8000;60;92;
8000;58;93;
8000;58;98;
9000;68;118;
9000;80;111;
9000;73;113;
9000;67;113;
9000;68;112;
10000;76;117;
10000;71;140;
10000;79;123;
10000;78;118;
10000;90;123;
11000;86;122;
11000;77;129;
11000;80;122;
11000;81;132;
11000;80;121;
12000;93;143;
12000;91;136;
12000;100;148;
12000;102;168;
12000;93;152;
13000;101;178;
13000;110;167;
13000;102;170;
13000;105;166;
13000;108;171;
14000;115;168;
14000;102;154;
14000;99;157;
14000;110;171;
14000;101;172;
15000;122;171;
15000;113;187;
15000;116;176;
15000;109;171;
15000;111;177;
16000;125;180;
16000;121;188;
16000;118;187;
16000;119;193;
16000;117;183;
17000;129;218;
17000;126;194;
17000;125;202;
17000;123;190;
17000;126;196;
18000;137;229;
18000;150;226;
18000;141;250;
18000;136;232;
18000;143;220;
19000;158;248;
19000;155;235;
19000;163;249;
19000;168;243;
19000;161;232;
