Iterations;Runtime;
1000;23;51;
1000;22;50;
1000;20;43;
1000;20;43;
1000;20;43;
2000;41;99;
2000;41;88;
2000;39;86;
2000;41;85;
2000;39;87;
3000;61;134;
3000;62;136;
3000;63;141;
3000;62;135;
3000;61;131;
4000;81;176;
4000;81;180;
4000;81;173;
4000;80;177;
4000;82;176;
5000;102;227;
5000;96;214;
5000;101;222;
5000;98;221;
5000;103;224;
6000;122;259;
6000;120;266;
6000;125;271;
6000;125;256;
6000;122;272;
7000;143;301;
7000;141;314;
7000;145;302;
7000;141;309;
7000;144;302;
8000;160;351;
8000;163;347;
8000;160;346;
8000;167;346;
8000;163;350;
9000;188;391;
9000;183;397;
9000;180;390;
9000;184;410;
9000;175;386;
10000;204;447;
10000;201;428;
10000;203;439;
10000;202;436;
10000;199;438;
11000;226;479;
11000;228;485;
11000;222;470;
11000;238;560;
11000;250;607;
12000;272;579;
12000;252;523;
12000;240;518;
12000;242;519;
12000;245;592;
13000;302;619;
13000;258;568;
13000;267;557;
13000;268;571;
13000;266;567;
14000;286;615;
14000;272;614;
14000;282;623;
14000;280;607;
14000;295;613;
15000;313;644;
15000;303;677;
15000;307;649;
15000;304;658;
15000;305;647;
16000;317;697;
16000;306;710;
16000;325;703;
16000;331;696;
16000;323;700;
17000;339;732;
17000;334;743;
17000;350;733;
17000;371;898;
17000;351;758;
18000;355;779;
18000;374;819;
18000;372;830;
18000;370;825;
18000;380;785;
19000;383;848;
19000;392;850;
19000;380;821;
19000;393;865;
19000;391;842;
