C3;TotalEdgeLength;EdgeMean;EdgeRatio;EdgeStdDev;
0,01;20,5242624282837;1,080224;2,473417;0,2407052;
0,01;20,5996611714363;1,084193;2,541547;0,2489968;
0,01;20,4649515748024;1,077103;2,202411;0,2090021;
0,01;20,4975415468216;1,078818;2,402735;0,2269001;
0,01;20,4824122190475;1,078022;4,041866;0,2948553;
0,02;21,7263395786285;1,143492;2,605295;0,2888812;
0,02;21,3214294910431;1,122181;1,925277;0,197385;
0,02;21,1034436225891;1,110708;2,565283;0,2372935;
0,02;21,2348743677139;1,117625;2,224899;0,2374569;
0,02;21,9898217320442;1,157359;2,370774;0,2435297;
0,03;22,1667014956474;1,166668;2,018286;0,2461542;
0,03;22,1574127078056;1,16618;2,015489;0,2368394;
0,03;22,2563632726669;1,171388;1,878414;0,2357764;
0,03;22,1666999459267;1,166668;2,018281;0,246153;
0,03;22,2563646435738;1,171388;1,878417;0,2357758;
0,04;22,8642572760582;1,203382;1,960682;0,2458696;
0,04;22,8642609119415;1,203382;1,960677;0,2458689;
0,04;22,9586453437805;1,20835;1,824257;0,244641;
0,04;23,0476452112198;1,213034;2,32344;0,2715523;
0,04;22,864253282547;1,203382;1,960675;0,2458688;
0,05;23,5496420860291;1,239455;1,779958;0,2385767;
0,05;23,5496401190758;1,239455;1,779959;0,2385767;
0,05;23,776778280735;1,251409;2,227682;0,2911007;
0,05;23,4646988511086;1,234984;1,823943;0,2402615;
0,05;23,4646942615509;1,234984;1,823945;0,2402615;
0,05999999;24,0502371788025;1,265802;1,687281;0,2180326;
0,05999999;23,9824683666229;1,262235;1,751439;0,2203567;
0,05999999;24,0502368211746;1,265802;1,687279;0,2180319;
0,05999999;24,0502367019653;1,265802;1,68728;0,2180319;
0,05999999;24,050238609314;1,265802;1,68728;0,2180323;
0,06999999;24,6197413802147;1,295776;2,183002;0,2828966;
0,06999999;24,4422039985657;1,286432;1,607542;0,1834239;
0,06999999;24,4422056674957;1,286432;1,607552;0,1834259;
0,06999999;24,4422036409378;1,286432;1,607542;0,1834241;
0,06999999;24,4709552526474;1,287945;1,568743;0,1816062;
0,07999999;25,0670448541641;1,319318;2,079934;0,2852912;
0,07999999;24,9688379764557;1,314149;1,568796;0,1867885;
0,07999999;24,9688358306885;1,314149;1,568798;0,1867886;
0,07999999;25,067051589489;1,319318;2,079925;0,2852915;
0,07999999;24,9686899185181;1,314142;1,568389;0,1867963;
0,08999999;25,4793232679367;1,341017;1,617566;0,2021152;
0,08999999;25,4793232679367;1,341017;1,617566;0,2021152;
0,08999999;25,4793773889542;1,34102;1,617761;0,2021175;
0,08999999;25,4787658452988;1,340988;1,617731;0,2020862;
0,08999999;25,4788852930069;1,340994;1,618143;0,2020767;
0,09999999;25,9643166065216;1,366543;1,664772;0,2165889;
0,09999999;26,0341573953629;1,370219;2,038364;0,2378714;
0,09999999;25,9640252590179;1,366528;1,66537;0,2165644;
0,09999999;25,9641424417496;1,366534;1,664841;0,2165784;
0,09999999;25,9640936851501;1,366531;1,664874;0,2165749;
0,11;26,428475856781;1,390972;1,709677;0,2303977;
0,11;26,428475856781;1,390972;1,709677;0,2303977;
0,11;26,4279787540436;1,390946;1,71035;0,2303659;
0,11;26,4279632568359;1,390946;1,709914;0,2303818;
0,11;26,4278728961945;1,390941;1,710478;0,2303709;
0,12;26,8730190992355;1,414369;1,754365;0,243637;
0,12;26,8730190992355;1,414369;1,754365;0,243637;
0,12;26,871778845787;1,414304;1,753822;0,2434981;
0,12;26,8718699216843;1,414309;1,753817;0,243514;
0,12;26,8718699216843;1,414309;1,753817;0,243514;
