Iterations;Runtime;
149;4;
149;3;
81;2;
81;1;
81;1;
81;1;
81;1;
81;1;
106;2;
106;2;
106;2;
106;2;
106;2;
106;2;
106;3;
174;6;
174;4;
174;3;
154;3;
154;3;
154;3;
154;3;
128;2;
128;3;
128;2;
128;3;
160;3;
160;3;
160;3;
160;3;
148;3;
148;3;
148;3;
148;3;
148;3;
189;4;
189;4;
189;4;
189;4;
152;3;
152;3;
152;3;
101;2;
101;2;
101;2;
101;2;
101;2;
101;2;
101;2;
196;4;
196;4;
196;4;
132;2;
132;3;
132;2;
132;3;
132;3;
158;3;
158;3;
158;3;
158;4;
180;3;
180;3;
180;4;
180;4;
160;3;
160;3;
160;3;
160;3;
110;2;
110;2;
110;2;
110;2;
174;3;
174;4;
174;3;
174;3;
172;3;
172;4;
172;3;
172;3;
156;3;
156;3;
156;3;
156;3;
198;4;
198;4;
198;4;
166;3;
166;3;
166;4;
166;3;
172;3;
172;3;
172;4;
172;4;
100;2;
100;2;
100;2;
100;2;
100;2;
100;2;
112;2;
112;2;
112;2;
112;3;
112;2;
176;4;
176;3;
176;4;
176;3;
127;2;
127;2;
127;2;
127;3;
127;2;
185;4;
185;4;
185;4;
185;4;
172;3;
172;3;
172;4;
158;3;
158;3;
158;3;
158;3;
172;4;
172;3;
172;3;
172;3;
136;3;
136;3;
136;3;
136;3;
136;3;
159;4;
159;3;
159;3;
159;3;
152;4;
152;3;
152;3;
152;3;
164;3;
