Iterations;Runtime;
50;1;
50;1;
50;1;
50;1;
55;1;
55;1;
55;1;
55;1;
55;1;
55;1;
55;1;
55;1;
55;1;
55;1;
55;1;
53;1;
53;1;
53;1;
53;1;
53;1;
53;1;
53;1;
53;1;
53;1;
53;1;
53;1;
56;1;
56;1;
56;1;
56;1;
56;1;
56;1;
56;1;
56;1;
56;1;
56;1;
57;1;
57;1;
57;1;
57;1;
57;1;
57;1;
57;1;
57;1;
57;1;
57;1;
57;1;
34;0;
34;0;
34;0;
34;0;
34;0;
34;0;
34;0;
34;0;
34;0;
34;0;
34;1;
34;0;
34;0;
34;0;
34;0;
36;0;
36;0;
36;0;
36;0;
36;0;
36;0;
36;0;
36;0;
36;0;
36;0;
36;0;
36;0;
36;1;
36;0;
53;1;
53;1;
53;1;
53;1;
53;1;
53;1;
53;1;
53;1;
53;1;
53;1;
53;1;
53;1;
52;1;
52;1;
52;1;
52;1;
52;1;
52;1;
52;1;
52;1;
52;1;
52;1;
52;1;
51;1;
51;1;
51;1;
51;1;
51;1;
51;1;
51;1;
51;1;
51;1;
51;1;
51;1;
51;1;
55;1;
55;1;
55;1;
55;1;
55;1;
55;1;
55;1;
55;1;
55;1;
55;1;
55;1;
49;1;
49;1;
49;1;
49;1;
49;1;
49;1;
49;1;
49;1;
49;1;
49;1;
49;1;
51;1;
51;1;
51;1;
51;1;
51;1;
51;1;
51;1;
51;1;
51;1;
51;1;
51;1;
51;1;
